gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425656,SRR4425684,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_1149|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,0,0,0,0,739.0,0,0,0,636.0,0,0,799.0,0,0,830.0,0
MEG_7050|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,304.0,484.0,0,791.0,0,1338.0,0,0,0,2247.0,5892.0,0,0,1880.0,31.0,5719.0
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,0,0,0,20.0,244.0,187.0,0,0,0,123.0,95.0,111.0,0,88.0,211.0,344.0
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0,0,1298.0,0,12186.0,6538.0,3003.0,2860.0,17296.0,7201.0,9838.0,0,3618.0,0,27727.0,10727.0
MEG_4039|Drugs|MLS|Macrolide_phosphotransferases|MPHC,0,0,0,0,39.0,0,0,0,28.0,0,0,20.0,0,0,45.0,0
MEG_7108|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0,0,60.0,0,0,0,0,0,0,96.0,0,0,103.0,0
MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,34.0,0
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,0,840.0,0,626.0,539.0,3610.0,0,19.0,203.0,1580.0,2417.0,492.0,0,3879.0,1025.0,2868.0
MEG_6588|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,0,0,16.0,0,0,21.0,0,0,0,0
MEG_7134|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0,0,53.0,0,0,0,113.0,0,0,94.0,0,0,176.0,0
MEG_7836|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YJAA,0,6.0,0,10.0,77.0,11.0,0,0,26.0,37.0,17.0,18.0,0,0,208.0,24.0
MEG_6120|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,920.0,1313.0,0,763.0,2089.0,3525.0,0,0,734.0,2715.0,6109.0,794.0,0,4898.0,5695.0,6449.0
MEG_1014|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,0,0,15.0,0,0,0,0,0,87.0,80.0,0,0,0,0,119.0
MEG_5343|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.0,0
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,0,0,0,66.0,165.0,0,0,0,84.0,124.0,141.0,116.0,0,0,524.0,179.0
MEG_2842|Drugs|MLS|23S_rRNA_methyltransferases|ERMQ,144.0,189.0,0,92.0,181.0,529.0,0,0,13.0,162.0,478.0,13.0,0,796.0,741.0,647.0
MEG_7163|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,69.0,78.0,0,398.0,182.0,229.0,0,0,140.0,847.0,753.0,342.0,0,246.0,412.0,871.0
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,0,16.0,0,108.0,246.0,20.0,0,0,343.0,140.0,100.0,112.0,0,0,731.0,216.0
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,0,0,0,215.0,530.0,40.0,0,0,652.0,231.0,280.0,274.0,0,0,1434.0,377.0
MEG_6616|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,18.0,0,0,0,62.0,0,0,43.0,0,0,0,0
